status_id,machine_id,timestamp,temperature,vibration,operating_hours,previous_failures,days_since_maintenance,current_workload,failure_within_24h
1,M1,2025-11-03T20:00:00,66.0,3.09,2976.1,2,61.2,0.7,0
2,M1,2025-11-04T02:00:00,66.8,3.9,5470.5,1,69.5,0.46,0
3,M1,2025-11-04T08:00:00,66.1,3.21,466.2,0,8.6,0.3,0
4,M1,2025-11-04T14:00:00,58.0,2.26,1474.2,0,6.4,0.43,0
5,M1,2025-11-04T20:00:00,69.4,1.8,5541.1,1,59.8,0.64,1
6,M1,2025-11-05T02:00:00,66.8,3.13,5866.1,3,80.0,0.69,1
7,M1,2025-11-05T08:00:00,64.3,1.29,3200.1,1,73.4,0.31,0
8,M1,2025-11-05T14:00:00,63.0,3.69,2656.4,1,72.5,0.46,0
9,M1,2025-11-05T20:00:00,53.4,2.75,5298.3,5,6.5,0.79,0
10,M1,2025-11-06T02:00:00,44.0,2.7,2067.8,1,17.0,0.77,0
11,M1,2025-11-06T08:00:00,58.8,1.85,5304.5,2,32.1,0.67,0
12,M1,2025-11-06T14:00:00,81.0,2.07,4026.4,1,26.3,0.91,0
13,M1,2025-11-06T20:00:00,67.2,3.18,4023.1,1,86.5,0.32,0
14,M1,2025-11-07T02:00:00,61.3,2.09,3880.0,2,45.9,0.93,0
15,M1,2025-11-07T08:00:00,57.6,1.41,3064.8,0,25.2,0.53,0
16,M1,2025-11-07T14:00:00,56.0,3.11,4859.0,1,33.1,0.59,0
17,M1,2025-11-07T20:00:00,67.0,3.0,1687.2,0,38.6,0.68,0
18,M1,2025-11-08T02:00:00,66.3,2.3,3012.6,1,48.3,0.72,0
19,M1,2025-11-08T08:00:00,65.2,3.04,1162.3,0,84.5,0.86,0
20,M1,2025-11-08T14:00:00,59.1,3.95,4242.8,1,44.2,0.76,0
21,M1,2025-11-08T20:00:00,60.4,2.61,5542.2,1,19.9,0.78,0
22,M1,2025-11-09T02:00:00,71.9,2.56,268.7,2,82.1,0.59,0
23,M1,2025-11-09T08:00:00,51.4,1.54,2088.2,2,8.8,0.75,0
24,M1,2025-11-09T14:00:00,67.0,2.41,1425.6,1,66.5,0.51,0
25,M1,2025-11-09T20:00:00,60.8,3.08,5313.8,3,21.3,0.68,0
26,M1,2025-11-10T02:00:00,60.3,2.39,1711.3,0,28.7,0.71,0
27,M1,2025-11-10T08:00:00,70.4,2.94,1848.2,0,62.6,0.3,0
28,M1,2025-11-10T14:00:00,72.0,3.88,5533.6,2,89.7,0.43,1
29,M1,2025-11-10T20:00:00,54.8,1.12,1338.0,0,13.4,0.55,0
30,M1,2025-11-11T02:00:00,67.4,2.8,179.1,5,51.4,0.94,0
31,M1,2025-11-11T08:00:00,58.8,1.42,4819.3,1,75.6,0.67,0
32,M1,2025-11-11T14:00:00,70.7,3.37,2476.8,3,72.4,0.67,1
33,M1,2025-11-11T20:00:00,52.7,1.6,3153.7,0,47.6,0.78,0
34,M1,2025-11-12T02:00:00,59.7,1.46,1880.9,4,26.7,0.62,0
35,M1,2025-11-12T08:00:00,73.2,3.07,3025.7,2,72.3,0.8,1
36,M1,2025-11-12T14:00:00,71.8,3.69,4699.1,0,12.6,0.78,1
37,M1,2025-11-12T20:00:00,68.7,2.84,131.7,2,48.9,0.34,1
38,M1,2025-11-13T02:00:00,60.1,4.2,2385.4,1,64.3,0.71,1
39,M1,2025-11-13T08:00:00,57.7,2.76,488.7,2,81.1,0.59,0
40,M1,2025-11-13T14:00:00,68.2,3.1,3545.2,1,26.1,0.9,0
41,M1,2025-11-13T20:00:00,55.2,1.84,1387.7,0,47.4,0.36,0
42,M1,2025-11-14T02:00:00,47.1,1.82,4587.5,0,32.8,0.78,1
43,M1,2025-11-14T08:00:00,68.1,2.84,585.8,1,17.0,0.44,0
44,M1,2025-11-14T14:00:00,51.1,2.49,2261.8,4,61.4,0.38,0
45,M1,2025-11-14T20:00:00,65.3,0.47,2374.5,0,28.4,0.7,0
46,M1,2025-11-15T02:00:00,70.2,1.56,1359.4,3,83.2,0.33,0
47,M1,2025-11-15T08:00:00,60.0,1.75,164.7,2,14.1,0.84,0
