operation_id,job_id,sequence,operation_type,required_machine_type,processing_time
J1-O1,J1,1,Cutting,CNC,1.1
J1-O2,J1,2,Turning,Lathe,0.92
J1-O3,J1,3,Assembly,Assembly,1.27
J2-O1,J2,1,Cutting,CNC,5.55
J2-O2,J2,2,Turning,Lathe,4.53
J2-O3,J2,3,Drilling,Drill,3.0
J2-O4,J2,4,Assembly,Assembly,6.57
J3-O1,J3,1,Cutting,CNC,3.3
J3-O2,J3,2,Turning,Lathe,2.7
J3-O3,J3,3,Drilling,Drill,1.8
J3-O4,J3,4,Assembly,Assembly,3.9
J4-O1,J4,1,Cutting,CNC,4.21
J4-O2,J4,2,Turning,Lathe,3.43
J4-O3,J4,3,Drilling,Drill,2.25
J4-O4,J4,4,Assembly,Assembly,4.99
J5-O1,J5,1,Cutting,CNC,6.46
J5-O2,J5,2,Turning,Lathe,5.26
J5-O3,J5,3,Drilling,Drill,3.46
J5-O4,J5,4,Assembly,Assembly,7.67
J6-O1,J6,1,Cutting,CNC,1.19
J6-O2,J6,2,Turning,Lathe,1.0
J6-O3,J6,3,Assembly,Assembly,1.38
J7-O1,J7,1,Cutting,CNC,1.81
J7-O2,J7,2,Drilling,Drill,1.02
J7-O3,J7,3,Assembly,Assembly,2.12
J8-O1,J8,1,Cutting,CNC,1.1
J8-O2,J8,2,Drilling,Drill,0.67
J8-O3,J8,3,Assembly,Assembly,1.28
J9-O1,J9,1,Cutting,CNC,1.66
J9-O2,J9,2,Drilling,Drill,0.92
J9-O3,J9,3,Assembly,Assembly,1.96
J10-O1,J10,1,Cutting,CNC,6.82
J10-O2,J10,2,Turning,Lathe,5.55
J10-O3,J10,3,Drilling,Drill,3.64
J10-O4,J10,4,Assembly,Assembly,8.1
J11-O1,J11,1,Cutting,CNC,3.87
J11-O2,J11,2,Turning,Lathe,3.16
J11-O3,J11,3,Drilling,Drill,2.08
J12-O1,J12,1,Cutting,CNC,6.51
J12-O2,J12,2,Turning,Lathe,5.3
J12-O3,J12,3,Drilling,Drill,3.48
J12-O4,J12,4,Assembly,Assembly,7.72
J13-O1,J13,1,Cutting,CNC,2.29
J13-O2,J13,2,Turning,Lathe,1.88
J13-O3,J13,3,Assembly,Assembly,2.7
J14-O1,J14,1,Cutting,CNC,3.05
J14-O2,J14,2,Drilling,Drill,1.64
J14-O3,J14,3,Assembly,Assembly,3.61
J15-O1,J15,1,Cutting,CNC,2.93
J15-O2,J15,2,Turning,Lathe,2.39
J15-O3,J15,3,Assembly,Assembly,3.47
J16-O1,J16,1,Cutting,CNC,0.74
J16-O2,J16,2,Turning,Lathe,0.64
J16-O3,J16,3,Assembly,Assembly,0.84
J17-O1,J17,1,Cutting,CNC,2.78
J17-O2,J17,2,Drilling,Drill,1.48
J17-O3,J17,3,Assembly,Assembly,3.3
J18-O1,J18,1,Cutting,CNC,1.27
J18-O2,J18,2,Drilling,Drill,0.73
J18-O3,J18,3,Assembly,Assembly,1.49
J19-O1,J19,1,Cutting,CNC,2.27
J19-O2,J19,2,Drilling,Drill,1.23
J19-O3,J19,3,Assembly,Assembly,2.69
J20-O1,J20,1,Cutting,CNC,0.72
J20-O2,J20,2,Drilling,Drill,0.48
J20-O3,J20,3,Assembly,Assembly,0.82
J21-O1,J21,1,Cutting,CNC,2.28
J21-O2,J21,2,Turning,Lathe,1.91
J21-O3,J21,3,Drilling,Drill,1.36
J21-O4,J21,4,Assembly,Assembly,2.65
J22-O1,J22,1,Cutting,CNC,2.25
J22-O2,J22,2,Drilling,Drill,1.24
J22-O3,J22,3,Assembly,Assembly,2.65
J23-O1,J23,1,Cutting,CNC,1.94
J23-O2,J23,2,Turning,Lathe,1.6
J23-O3,J23,3,Assembly,Assembly,2.28
J24-O1,J24,1,Cutting,CNC,3.91
J24-O2,J24,2,Drilling,Drill,2.08
J24-O3,J24,3,Assembly,Assembly,4.65
J25-O1,J25,1,Cutting,CNC,4.31
J25-O2,J25,2,Turning,Lathe,3.51
J25-O3,J25,3,Drilling,Drill,2.3
J26-O1,J26,1,Cutting,CNC,1.23
J26-O2,J26,2,Turning,Lathe,1.04
J26-O3,J26,3,Drilling,Drill,0.77
J26-O4,J26,4,Assembly,Assembly,1.42
J27-O1,J27,1,Cutting,CNC,3.25
J27-O2,J27,2,Turning,Lathe,2.69
J27-O3,J27,3,Drilling,Drill,1.85
J27-O4,J27,4,Assembly,Assembly,3.82
J28-O1,J28,1,Cutting,CNC,4.22
J28-O2,J28,2,Turning,Lathe,3.44
J28-O3,J28,3,Drilling,Drill,2.26
J28-O4,J28,4,Assembly,Assembly,5.0
J29-O1,J29,1,Cutting,CNC,3.43
J29-O2,J29,2,Turning,Lathe,2.8
J29-O3,J29,3,Drilling,Drill,1.86
J29-O4,J29,4,Assembly,Assembly,4.06
J30-O1,J30,1,Cutting,CNC,1.47
J30-O2,J30,2,Turning,Lathe,1.27
J30-O3,J30,3,Drilling,Drill,0.96
J30-O4,J30,4,Assembly,Assembly,1.67
J31-O1,J31,1,Cutting,CNC,1.89
J31-O2,J31,2,Turning,Lathe,1.6
J31-O3,J31,3,Drilling,Drill,1.17
J31-O4,J31,4,Assembly,Assembly,2.18
J32-O1,J32,1,Cutting,CNC,2.05
J32-O2,J32,2,Drilling,Drill,1.12
J32-O3,J32,3,Assembly,Assembly,2.43
J33-O1,J33,1,Cutting,CNC,5.12
J33-O2,J33,2,Turning,Lathe,4.16
J33-O3,J33,3,Drilling,Drill,2.71
J33-O4,J33,4,Assembly,Assembly,6.08
J34-O1,J34,1,Cutting,CNC,2.99
J34-O2,J34,2,Turning,Lathe,2.45
J34-O3,J34,3,Drilling,Drill,1.65
J35-O1,J35,1,Cutting,CNC,2.34
J35-O2,J35,2,Turning,Lathe,1.92
J35-O3,J35,3,Assembly,Assembly,2.76
J36-O1,J36,1,Cutting,CNC,1.66
J36-O2,J36,2,Drilling,Drill,0.92
J36-O3,J36,3,Assembly,Assembly,1.96
J37-O1,J37,1,Cutting,CNC,1.14
J37-O2,J37,2,Turning,Lathe,0.96
J37-O3,J37,3,Assembly,Assembly,1.32
J38-O1,J38,1,Cutting,CNC,2.06
J38-O2,J38,2,Turning,Lathe,1.71
J38-O3,J38,3,Drilling,Drill,1.18
J38-O4,J38,4,Assembly,Assembly,2.41
J39-O1,J39,1,Cutting,CNC,1.28
J39-O2,J39,2,Turning,Lathe,1.08
J39-O3,J39,3,Drilling,Drill,0.79
J40-O1,J40,1,Cutting,CNC,3.3
J40-O2,J40,2,Turning,Lathe,2.7
J40-O3,J40,3,Drilling,Drill,1.8
J40-O4,J40,4,Assembly,Assembly,3.9
J41-O1,J41,1,Cutting,CNC,1.34
J41-O2,J41,2,Drilling,Drill,0.76
J41-O3,J41,3,Assembly,Assembly,1.57
J42-O1,J42,1,Cutting,CNC,1.17
J42-O2,J42,2,Drilling,Drill,0.67
J42-O3,J42,3,Assembly,Assembly,1.37
J43-O1,J43,1,Cutting,CNC,2.76
J43-O2,J43,2,Turning,Lathe,2.27
J43-O3,J43,3,Drilling,Drill,1.53
J44-O1,J44,1,Cutting,CNC,2.89
J44-O2,J44,2,Drilling,Drill,1.53
J44-O3,J44,3,Assembly,Assembly,3.43
J45-O1,J45,1,Cutting,CNC,4.28
J45-O2,J45,2,Turning,Lathe,3.48
J45-O3,J45,3,Drilling,Drill,2.29
J45-O4,J45,4,Assembly,Assembly,5.08
J46-O1,J46,1,Cutting,CNC,6.24
J46-O2,J46,2,Turning,Lathe,5.08
J46-O3,J46,3,Drilling,Drill,3.34
J46-O4,J46,4,Assembly,Assembly,7.4
J47-O1,J47,1,Cutting,CNC,1.35
J47-O2,J47,2,Turning,Lathe,1.14
J47-O3,J47,3,Drilling,Drill,0.82
J47-O4,J47,4,Assembly,Assembly,1.56
J48-O1,J48,1,Cutting,CNC,2.8
J48-O2,J48,2,Drilling,Drill,1.52
J48-O3,J48,3,Assembly,Assembly,3.31
J49-O1,J49,1,Cutting,CNC,2.58
J49-O2,J49,2,Drilling,Drill,1.38
J49-O3,J49,3,Assembly,Assembly,3.06
J50-O1,J50,1,Cutting,CNC,0.52
J50-O2,J50,2,Drilling,Drill,0.35
J50-O3,J50,3,Assembly,Assembly,0.58
J51-O1,J51,1,Cutting,CNC,0.8
J51-O2,J51,2,Drilling,Drill,0.49
J51-O3,J51,3,Assembly,Assembly,0.93
J52-O1,J52,1,Cutting,CNC,1.36
J52-O2,J52,2,Drilling,Drill,0.8
J52-O3,J52,3,Assembly,Assembly,1.58
J53-O1,J53,1,Cutting,CNC,2.08
J53-O2,J53,2,Turning,Lathe,1.76
J53-O3,J53,3,Drilling,Drill,1.27
J53-O4,J53,4,Assembly,Assembly,2.41
J54-O1,J54,1,Cutting,CNC,1.29
J54-O2,J54,2,Drilling,Drill,0.73
J54-O3,J54,3,Assembly,Assembly,1.51
J55-O1,J55,1,Cutting,CNC,1.67
J55-O2,J55,2,Turning,Lathe,1.39
J55-O3,J55,3,Assembly,Assembly,1.96
J56-O1,J56,1,Cutting,CNC,3.65
J56-O2,J56,2,Turning,Lathe,2.98
J56-O3,J56,3,Drilling,Drill,1.98
J56-O4,J56,4,Assembly,Assembly,4.32
J57-O1,J57,1,Cutting,CNC,5.15
J57-O2,J57,2,Turning,Lathe,4.18
J57-O3,J57,3,Drilling,Drill,2.73
J57-O4,J57,4,Assembly,Assembly,6.12
J58-O1,J58,1,Cutting,CNC,2.32
J58-O2,J58,2,Drilling,Drill,1.28
J58-O3,J58,3,Assembly,Assembly,2.74
J59-O1,J59,1,Cutting,CNC,4.54
J59-O2,J59,2,Turning,Lathe,3.69
J59-O3,J59,3,Drilling,Drill,2.42
J60-O1,J60,1,Cutting,CNC,5.29
J60-O2,J60,2,Turning,Lathe,4.33
J60-O3,J60,3,Drilling,Drill,2.87
J60-O4,J60,4,Assembly,Assembly,6.26
