operation_id,job_id,machine_id,start_time,end_time,start_h,end_h,setup_h,duration_h
J11-O1,J11,M1,2026-01-05T12:47:52.068693611,2026-01-05T16:18:46.068693611,4.37,7.88,0.0,3.52
J11-O2,J11,M4,2026-01-05T16:18:46.068693611,2026-01-05T19:13:18.468693611,7.88,10.79,0.0,2.91
J11-O3,J11,M6,2026-01-05T19:13:18.468693611,2026-01-05T21:01:58.068693611,10.79,12.6,0.0,1.81
J58-O1,J58,M2,2026-01-05T08:25:41.098135611,2026-01-05T10:22:41.098135611,0.0,1.95,0.0,1.95
J58-O2,J58,M6,2026-01-05T21:01:58.068693611,2026-01-05T21:56:19.668693611,12.6,13.51,0.0,0.91
J58-O3,J58,M7,2026-01-05T21:56:19.668693611,2026-01-05T23:55:11.268693611,13.51,15.49,0.0,1.98
J13-O1,J13,M2,2026-01-05T11:21:18.460637611,2026-01-05T13:18:11.260637611,2.93,4.88,0.0,1.95
J48-O1,J48,M2,2026-01-05T13:18:11.260637611,2026-01-05T15:35:35.260637611,4.88,7.17,0.0,2.29
J13-O2,J13,M4,2026-01-05T19:13:18.468693611,2026-01-05T20:41:30.468693611,10.79,12.26,0.0,1.47
J56-O1,J56,M1,2026-01-05T16:18:46.068693611,2026-01-05T19:35:01.668693611,7.88,11.16,0.0,3.27
J13-O3,J13,M8,2026-01-05T20:41:30.468693611,2026-01-05T22:36:38.868693611,12.26,14.18,0.0,1.92
J56-O2,J56,M4,2026-01-05T20:41:30.468693611,2026-01-05T23:27:49.668693611,12.26,15.04,0.0,2.77
J5-O1,J5,M1,2026-01-05T19:35:01.668693611,2026-01-06T00:22:54.468693611,11.16,15.95,0.0,4.8
J56-O3,J56,M6,2026-01-05T23:27:49.668693611,2026-01-06T01:11:41.268693611,15.04,16.77,0.0,1.73
J23-O1,J23,M1,2026-01-06T00:22:54.468693611,2026-01-06T01:48:06.468693611,15.95,17.37,0.0,1.42
J23-O2,J23,M4,2026-01-06T01:48:06.468693611,2026-01-06T03:03:28.068693611,17.37,18.63,0.0,1.26
J23-O3,J23,M8,2026-01-06T03:03:28.068693611,2026-01-06T04:43:18.468693611,18.63,20.29,0.0,1.66
J56-O4,J56,M8,2026-01-06T04:43:18.468693611,2026-01-06T08:28:07.668693611,20.29,24.04,0.0,3.75
J20-O1,J20,M1,2026-01-06T01:48:06.468693611,2026-01-06T02:20:37.668693611,17.37,17.92,0.0,0.54
J5-O2,J5,M4,2026-01-06T03:03:28.068693611,2026-01-06T07:20:44.868693611,18.63,22.92,0.0,4.29
J5-O3,J5,M5,2026-01-06T07:20:44.868693611,2026-01-06T10:31:04.068693611,22.92,26.09,0.0,3.17
J5-O4,J5,M7,2026-01-06T10:31:04.068693611,2026-01-06T15:17:34.068693611,26.09,30.86,0.0,4.78
J3-O1,J3,M1,2026-01-06T03:51:47.333259611,2026-01-06T06:56:13.733259611,19.44,22.51,0.0,3.07
J36-O1,J36,M1,2026-01-06T06:56:13.733259611,2026-01-06T08:14:31.733259611,22.51,23.81,0.0,1.3
J3-O2,J3,M4,2026-01-06T07:20:44.868693611,2026-01-06T09:55:36.468693611,22.92,25.5,0.0,2.58
J36-O2,J36,M6,2026-01-06T08:14:31.733259611,2026-01-06T08:50:31.733259611,23.81,24.41,0.0,0.6
J36-O3,J36,M7,2026-01-06T15:17:34.068693611,2026-01-06T16:46:04.068693611,30.86,32.34,0.0,1.48
