job_id,product,material,quantity,priority,created_at,deadline,status
J1,Housing,Aluminium,107,2,2026-01-05T16:53:56.949293695,2026-01-10T04:19:42.066082092,Pending
J2,Valve,Titanium,340,3,2026-01-05T18:38:30.986778681,2026-01-08T14:28:15.738652696,Pending
J3,Gear,Steel,300,1,2026-01-06T03:51:47.333260159,2026-01-07T19:46:35.072039020,Pending
J4,Gear,Steel,391,2,2026-01-06T07:17:48.309307719,2026-01-11T03:37:53.192248511,Pending
J5,Valve,Titanium,401,1,2026-01-05T19:12:04.694722015,2026-01-07T03:27:19.888540703,Pending
J6,Housing,Aluminium,119,2,2026-01-06T01:52:27.450270435,2026-01-10T16:51:03.853211487,Pending
J7,Bracket,Aluminium,196,2,2026-01-05T19:16:09.622094229,2026-01-07T21:22:50.333510503,Pending
J8,Bracket,Aluminium,108,2,2026-01-05T13:26:44.967757996,2026-01-09T04:05:01.478226559,Pending
J9,Cover,Plastic,247,3,2026-01-06T00:48:22.904812994,2026-01-08T12:20:13.537531021,Pending
J10,Valve,Titanium,425,3,2026-01-05T17:17:58.131948207,2026-01-08T22:28:41.625880117,Pending
J11,Shaft,Steel,357,1,2026-01-05T12:47:52.068693849,2026-01-06T06:08:39.802169164,Pending
J12,Valve,Titanium,404,2,2026-01-06T00:55:26.288713315,2026-01-10T20:23:32.249647641,Pending
J13,Housing,Aluminium,256,2,2026-01-05T11:21:18.460638229,2026-01-07T09:22:53.521816589,Pending
J14,Bracket,Aluminium,351,2,2026-01-05T21:33:56.399599974,2026-01-10T01:04:01.830535789,Pending
J15,Housing,Aluminium,336,2,2026-01-05T21:25:15.498688403,2026-01-08T12:31:15.526930435,Pending
J16,Housing,Aluminium,63,2,2026-01-05T13:09:00.115731607,2026-01-08T06:03:51.565124302,Pending
J17,Cover,Plastic,434,2,2026-01-05T09:23:57.356881935,2026-01-07T21:28:50.797784270,Pending
J18,Cover,Plastic,182,2,2026-01-05T21:22:07.577962286,2026-01-09T21:34:08.502184933,Pending
J19,Cover,Plastic,349,2,2026-01-06T03:32:11.361235145,2026-01-08T05:05:17.242168563,Pending
J20,Bracket,Aluminium,60,1,2026-01-06T01:20:11.847891533,2026-01-07T02:07:57.704816492,Pending
J21,Valve,Titanium,122,2,2026-01-05T11:39:19.765674417,2026-01-09T09:33:58.033696805,Pending
J22,Bracket,Aluminium,251,2,2026-01-05T15:14:10.644502376,2026-01-09T05:48:01.791320615,Pending
J23,Housing,Aluminium,213,1,2026-01-05T10:49:55.709943212,2026-01-07T07:26:41.520899316,Pending
J24,Bracket,Aluminium,459,2,2026-01-05T14:22:51.164670102,2026-01-10T12:32:57.801346246,Pending
J25,Shaft,Steel,401,3,2026-01-05T18:47:04.833785223,2026-01-08T08:41:13.203596628,Pending
J26,Gear,Steel,93,3,2026-01-05T18:56:19.071441623,2026-01-07T21:34:57.720502649,Pending
J27,Valve,Titanium,187,2,2026-01-05T12:14:33.168445949,2026-01-10T02:23:21.082264553,Pending
J28,Gear,Steel,392,3,2026-01-05T18:22:12.838636568,2026-01-09T17:28:29.784758871,Pending
J29,Gear,Steel,313,2,2026-01-05T10:01:35.989346486,2026-01-08T13:26:46.521171621,Pending
J30,Valve,Titanium,68,2,2026-01-05T15:55:00.008745552,2026-01-07T14:50:54.975138973,Pending
J31,Valve,Titanium,96,2,2026-01-05T12:05:39.232481586,2026-01-10T02:56:37.826574103,Pending
J32,Cover,Plastic,312,2,2026-01-05T22:10:55.098463994,2026-01-07T11:36:02.453320546,Pending
J33,Gear,Steel,482,2,2026-01-06T02:47:08.323634424,2026-01-08T09:28:26.563612086,Pending
J34,Shaft,Steel,269,2,2026-01-06T06:30:28.205709838,2026-01-09T17:19:59.084794147,Pending
J35,Housing,Aluminium,263,2,2026-01-05T15:57:27.561370396,2026-01-08T22:38:36.413282198,Pending
J36,Cover,Plastic,247,1,2026-01-06T03:49:51.622250392,2026-01-07T21:02:58.383166333,Pending
J37,Housing,Aluminium,113,2,2026-01-05T10:36:20.944034102,2026-01-09T01:49:01.290829567,Pending
J38,Gear,Steel,176,2,2026-01-06T01:26:52.334674386,2026-01-10T04:17:58.812346671,Pending
J39,Shaft,Steel,98,3,2026-01-05T13:31:30.488813317,2026-01-07T01:40:19.704992056,Pending
J40,Gear,Steel,300,2,2026-01-06T03:54:53.833806640,2026-01-10T14:16:30.257761159,Pending
J41,Cover,Plastic,193,3,2026-01-05T14:58:55.301215306,2026-01-08T17:51:11.514434039,Pending
J42,Cover,Plastic,165,3,2026-01-05T11:57:02.115439086,2026-01-07T00:45:23.173824076,Pending
J43,Shaft,Steel,246,3,2026-01-06T05:24:00.915804424,2026-01-10T05:50:48.825408025,Pending
J44,Cover,Plastic,451,3,2026-01-05T20:27:09.362337389,2026-01-08T11:34:23.249264657,Pending
J45,Gear,Steel,398,2,2026-01-05T16:58:04.027774688,2026-01-07T21:39:18.428176404,Pending
J46,Valve,Titanium,386,2,2026-01-06T06:29:00.656206118,2026-01-09T05:49:34.181807755,Pending
J47,Gear,Steel,105,3,2026-01-05T11:40:43.764956356,2026-01-07T12:53:43.037705784,Pending
J48,Bracket,Aluminium,320,3,2026-01-05T12:42:51.955117739,2026-01-08T03:10:20.372912966,Pending
J49,Cover,Plastic,400,3,2026-01-05T20:01:04.038487882,2026-01-07T20:32:58.519222642,Pending
J50,Cover,Plastic,56,2,2026-01-05T11:09:49.439616755,2026-01-09T00:49:25.057617257,Pending
J51,Cover,Plastic,104,2,2026-01-06T00:39:44.274439545,2026-01-09T07:22:35.137895164,Pending
J52,Bracket,Aluminium,140,3,2026-01-06T01:10:11.175998805,2026-01-09T22:01:56.969126481,Pending
J53,Valve,Titanium,109,1,2026-01-06T06:15:41.404406962,2026-01-07T10:30:23.412335595,Pending
J54,Cover,Plastic,185,2,2026-01-05T23:54:31.467982773,2026-01-10T13:53:44.166012300,Pending
J55,Housing,Aluminium,179,3,2026-01-05T08:35:47.860055772,2026-01-08T16:01:42.496245897,Pending
J56,Gear,Steel,335,1,2026-01-05T11:22:05.341186322,2026-01-06T21:42:17.310771560,Pending
J57,Gear,Steel,485,2,2026-01-06T06:23:33.206346258,2026-01-10T22:54:59.150042793,Pending
J58,Bracket,Aluminium,260,3,2026-01-05T08:25:41.098135611,2026-01-07T05:29:44.169204142,Pending
J59,Shaft,Steel,424,3,2026-01-05T13:35:00.160105899,2026-01-09T00:41:49.002198426,Pending
J60,Valve,Titanium,323,3,2026-01-05T22:28:28.458394065,2026-01-09T08:14:16.070344884,Pending
