from_product,to_product,machine_type,setup_hours
Gear,Gear,CNC,0.0
Gear,Gear,Lathe,0.0
Gear,Gear,Drill,0.0
Gear,Gear,Assembly,0.0
Gear,Shaft,CNC,0.29
Gear,Shaft,Lathe,0.31
Gear,Shaft,Drill,0.43
Gear,Shaft,Assembly,0.53
Gear,Bracket,CNC,0.33
Gear,Bracket,Lathe,0.22
Gear,Bracket,Drill,0.22
Gear,Bracket,Assembly,0.47
Gear,Housing,CNC,0.51
Gear,Housing,Lathe,0.15
Gear,Housing,Drill,0.13
Gear,Housing,Assembly,0.4
Gear,Valve,CNC,0.17
Gear,Valve,Lathe,0.51
Gear,Valve,Drill,0.26
Gear,Valve,Assembly,0.17
Gear,Cover,CNC,0.56
Gear,Cover,Lathe,0.18
Gear,Cover,Drill,0.24
Gear,Cover,Assembly,0.18
Shaft,Gear,CNC,0.16
Shaft,Gear,Lathe,0.11
Shaft,Gear,Drill,0.13
Shaft,Gear,Assembly,0.19
Shaft,Shaft,CNC,0.0
Shaft,Shaft,Lathe,0.0
Shaft,Shaft,Drill,0.0
Shaft,Shaft,Assembly,0.0
Shaft,Bracket,CNC,0.13
Shaft,Bracket,Lathe,0.4
Shaft,Bracket,Drill,0.44
Shaft,Bracket,Assembly,0.3
Shaft,Housing,CNC,0.26
Shaft,Housing,Lathe,0.35
Shaft,Housing,Drill,0.54
Shaft,Housing,Assembly,0.53
Shaft,Valve,CNC,0.12
Shaft,Valve,Lathe,0.19
Shaft,Valve,Drill,0.22
Shaft,Valve,Assembly,0.22
Shaft,Cover,CNC,0.39
Shaft,Cover,Lathe,0.31
Shaft,Cover,Drill,0.12
Shaft,Cover,Assembly,0.29
Bracket,Gear,CNC,0.36
Bracket,Gear,Lathe,0.15
Bracket,Gear,Drill,0.52
Bracket,Gear,Assembly,0.13
Bracket,Shaft,CNC,0.56
Bracket,Shaft,Lathe,0.15
Bracket,Shaft,Drill,0.52
Bracket,Shaft,Assembly,0.55
Bracket,Bracket,CNC,0.0
Bracket,Bracket,Lathe,0.0
Bracket,Bracket,Drill,0.0
Bracket,Bracket,Assembly,0.0
Bracket,Housing,CNC,0.59
Bracket,Housing,Lathe,0.5
Bracket,Housing,Drill,0.49
Bracket,Housing,Assembly,0.42
Bracket,Valve,CNC,0.49
Bracket,Valve,Lathe,0.17
Bracket,Valve,Drill,0.37
Bracket,Valve,Assembly,0.36
Bracket,Cover,CNC,0.53
Bracket,Cover,Lathe,0.33
Bracket,Cover,Drill,0.29
Bracket,Cover,Assembly,0.42
Housing,Gear,CNC,0.23
Housing,Gear,Lathe,0.17
Housing,Gear,Drill,0.34
Housing,Gear,Assembly,0.31
Housing,Shaft,CNC,0.22
Housing,Shaft,Lathe,0.28
Housing,Shaft,Drill,0.28
Housing,Shaft,Assembly,0.26
Housing,Bracket,CNC,0.29
Housing,Bracket,Lathe,0.44
Housing,Bracket,Drill,0.25
Housing,Bracket,Assembly,0.57
Housing,Housing,CNC,0.0
Housing,Housing,Lathe,0.0
Housing,Housing,Drill,0.0
Housing,Housing,Assembly,0.0
Housing,Valve,CNC,0.56
Housing,Valve,Lathe,0.34
Housing,Valve,Drill,0.26
Housing,Valve,Assembly,0.37
Housing,Cover,CNC,0.52
Housing,Cover,Lathe,0.43
Housing,Cover,Drill,0.5
Housing,Cover,Assembly,0.37
Valve,Gear,CNC,0.42
Valve,Gear,Lathe,0.24
Valve,Gear,Drill,0.47
Valve,Gear,Assembly,0.2
Valve,Shaft,CNC,0.45
Valve,Shaft,Lathe,0.53
Valve,Shaft,Drill,0.17
Valve,Shaft,Assembly,0.41
Valve,Bracket,CNC,0.15
Valve,Bracket,Lathe,0.46
Valve,Bracket,Drill,0.14
Valve,Bracket,Assembly,0.57
Valve,Housing,CNC,0.17
Valve,Housing,Lathe,0.58
Valve,Housing,Drill,0.5
Valve,Housing,Assembly,0.4
Valve,Valve,CNC,0.0
Valve,Valve,Lathe,0.0
Valve,Valve,Drill,0.0
Valve,Valve,Assembly,0.0
Valve,Cover,CNC,0.49
Valve,Cover,Lathe,0.5
Valve,Cover,Drill,0.57
Valve,Cover,Assembly,0.23
Cover,Gear,CNC,0.4
Cover,Gear,Lathe,0.15
Cover,Gear,Drill,0.41
Cover,Gear,Assembly,0.19
Cover,Shaft,CNC,0.38
Cover,Shaft,Lathe,0.39
Cover,Shaft,Drill,0.33
Cover,Shaft,Assembly,0.36
Cover,Bracket,CNC,0.48
Cover,Bracket,Lathe,0.5
Cover,Bracket,Drill,0.35
Cover,Bracket,Assembly,0.4
Cover,Housing,CNC,0.57
Cover,Housing,Lathe,0.16
Cover,Housing,Drill,0.16
Cover,Housing,Assembly,0.14
Cover,Valve,CNC,0.43
Cover,Valve,Lathe,0.31
Cover,Valve,Drill,0.49
Cover,Valve,Assembly,0.44
Cover,Cover,CNC,0.0
Cover,Cover,Lathe,0.0
Cover,Cover,Drill,0.0
Cover,Cover,Assembly,0.0
